,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
1675,ven,1997,otherprim,7.697,535.816,10.6744,164.689,12.1791,0.8842,2.9713,1.6514,41.0791,1.3393,13.4994,27.0626,19.0361,6.7767,7.2,4.3343,16.9368,0.2408,86.5168,43.0718,9.7201,2.9436,1.8542,6.898,14.4705,52.1956,13.471,otherprim,0.3601,313.117,10.161,8.0182,0.5364,0.1343,0.0395,0.0663,0.8342,0.2083,3.8289,20.7417,19.1429,1.5103,1.0185,0.6999,6.3998,0.0023,0.0968,0.3992,1.4484,0.0834,0.0393,0.1034,1.338,1.51,0.3363,0.794275,0.016646,0.025614,0.019378,0.01836
1676,ven,1997,energy,113.903,31.1456,13348.3,183.752,62.5965,39.4348,85.7173,32.482,44.7104,54.3263,307.605,44.2366,504.31,115.746,141.845,76.6006,4.8948,19.0351,371.595,337.995,402.795,47.5389,19.0671,84.0776,85.7125,154.105,338.419,energy,5.3285,18.2007,12706.4,8.9462,2.7571,5.9901,1.1394,1.3048,0.908,8.4498,87.2467,33.9045,507.138,25.7959,20.0651,12.3688,1.8496,0.1781,0.4157,3.1327,60.0207,1.3465,0.4042,1.2607,7.9254,4.4582,8.4492,0.558885,0.690344,0.74748,0.66879,0.70736
1677,ven,1997,procfoods,60.4479,1.3886,5.5067,1546.54,75.7986,2.6064,6.6376,6.0658,2.0914,2.012,21.5018,0.9529,1.7981,1.9454,5.3272,7.1745,0.2139,0.1369,8.2337,161.465,10.2326,0.1218,0.0704,0.2845,0.2639,5.8747,29.2774,procfoods,2.8278,0.8115,5.2419,75.2958,3.3385,0.3959,0.0882,0.2437,0.0425,0.3129,6.0986,0.7304,1.8082,0.4336,0.7536,1.1585,0.0808,0.0013,0.0092,1.4966,1.5248,0.0034,0.0015,0.0043,0.0244,0.17,0.731,0.180651,0.015011,0.005254,0.00512,0.01073
1678,ven,1997,bevtobacco,3.3159,0.2951,6.0384,10.9345,1316.67,1.6374,7.5775,4.2169,2.2495,1.9357,6.157,1.4334,2.2063,2.3109,8.5923,2.0696,0.2409,0.1173,11.0431,259.787,11.2275,0.1359,0.0806,0.3358,0.2406,7.662,21.7793,bevtobacco,0.1551,0.1725,5.748,0.5324,57.9929,0.2487,0.1007,0.1694,0.0457,0.3011,1.7463,1.0986,2.2187,0.515,1.2155,0.3342,0.091,0.0011,0.0124,2.4078,1.673,0.0039,0.0017,0.005,0.0222,0.2217,0.5438,0.533798,0.004401,0.004551,0.003833,0.004314
1679,ven,1997,textiles,0.5781,0.1194,17.6651,1.114,0.4128,189.748,214.21,11.7196,15.6577,1.8177,5.6282,0.7888,0.9162,1.0794,1.8755,2.4083,0.3107,0.1017,8.5526,8.4504,5.6637,0.1368,0.1129,0.3897,0.2673,4.2383,2.4565,textiles,0.027,0.0698,16.8156,0.0542,0.0182,28.8226,2.8473,0.4708,0.318,0.2827,1.5963,0.6046,0.9213,0.2406,0.2653,0.3889,0.1174,0.001,0.0096,0.0783,0.8439,0.0039,0.0024,0.0058,0.0247,0.1226,0.0613,0.267417,0.003537,0.001832,0.002718,0.003343
1680,ven,1997,clothing,0.3825,0.0951,27.0584,0.8751,0.2921,0.1731,340.638,0.2496,0.2113,0.2293,1.0625,0.2011,1.1762,0.3823,0.7024,0.2721,0.0223,0.1228,1.4611,9.0885,6.3346,0.1947,0.1643,0.5688,0.3518,6.0691,1.5474,clothing,0.0179,0.0556,25.7571,0.0426,0.0129,0.0263,4.5279,0.01,0.0043,0.0357,0.3013,0.1542,1.1828,0.0852,0.0994,0.0439,0.0084,0.0011,0.0016,0.0842,0.9439,0.0055,0.0035,0.0085,0.0325,0.1756,0.0386,0.207226,0.000923,0.000371,0.001663,0.000855
1681,ven,1997,leather,0.1472,0.025,0.1087,0.1667,0.0362,0.0291,0.628,201.273,0.3734,0.1101,2.783,0.0193,0.0304,0.036,0.0537,0.0838,0.3393,0.01,0.2213,0.2332,0.3139,0.0028,0.0017,0.0066,0.0098,0.1173,0.1975,leather,0.0069,0.0146,0.1034,0.0081,0.0016,0.0044,0.0083,8.0854,0.0076,0.0171,0.7894,0.0148,0.0306,0.008,0.0076,0.0135,0.1282,0.0001,0.0002,0.0022,0.0468,0.0001,0.0,0.0001,0.0009,0.0034,0.0049,0.1508,0.001546,0.000452,0.00046,0.001205
1682,ven,1997,lumber,0.404,0.0788,1.6884,0.966,0.4739,0.107,0.4069,0.4721,239.03,0.3723,2.7679,1.4951,0.6465,2.3496,10.3566,1.0016,0.0691,0.0271,63.4955,10.5539,4.1968,0.0206,0.0168,0.0561,0.0599,0.5149,1.1277,lumber,0.0189,0.0461,1.6072,0.047,0.0209,0.0163,0.0054,0.019,4.8543,0.0579,0.7851,1.1459,0.6501,0.5237,1.465,0.1617,0.0261,0.0003,0.071,0.0978,0.6254,0.0006,0.0004,0.0008,0.0055,0.0149,0.0282,0.280809,0.000584,0.000318,0.000608,0.00058
1683,ven,1997,paperpub,3.3793,0.4498,8.543,20.3948,7.2601,1.2533,5.4324,8.1446,3.6587,454.755,23.9834,12.1517,2.6582,8.7932,5.1306,14.3013,0.1275,0.554,25.4893,65.9353,15.798,0.5877,0.7629,1.9711,3.4159,13.9995,106.927,paperpub,0.1581,0.2628,8.1322,0.993,0.3198,0.1904,0.0722,0.3272,0.0743,70.732,6.8025,9.3135,2.6731,1.9597,0.7258,2.3093,0.0482,0.0052,0.0285,0.6111,2.3541,0.0166,0.0162,0.0296,0.3159,0.405,2.6696,0.334803,0.007072,0.004587,0.005512,0.005575
1684,ven,1997,chemicals,97.4506,16.6416,38.9613,91.598,21.8511,19.1974,48.5701,25.5988,41.7786,36.9566,1876.55,10.1507,12.9869,18.2953,23.2484,36.1578,0.9959,6.5652,86.8131,130.048,199.456,1.5804,0.8613,3.5497,5.8035,70.7837,120.072,chemicals,4.5588,9.7249,37.0876,4.4596,0.9624,2.9161,0.6456,1.0283,0.8485,5.7482,532.251,7.7798,13.0597,4.0774,3.2887,5.8384,0.3763,0.0614,0.0971,1.2054,29.7211,0.0448,0.0183,0.0532,0.5366,2.0478,2.9978,0.382582,0.046887,0.034753,0.033176,0.042197
